timestamp,baro_alt_meter,baro_temp_celcius,baro_pressure_pa,rho
3184000,488.234,0.0,95596.5,1.13584
3192000,488.234,0.0,95596.5,1.13584
3200000,488.15,0.0,95597.5,1.13586
3204000,488.032,0.0,95598.9,1.13587
3208000,488.07,0.0,95598.4,1.13587
3216000,487.967,0.0,95599.6,1.13588
3220000,488.164,0.0,95597.3,1.13585
3224000,487.877,0.0,95600.6,1.13589
3228000,488.197,0.0,95597.0,1.13585
3236000,488.183,0.0,95597.1,1.13585
3240000,487.967,0.0,95599.6,1.13588
3244000,488.197,0.0,95596.9,1.13585
3248000,488.197,0.0,95597.0,1.13585
3252000,488.0,0.0,95599.2,1.13588
3256000,488.014,0.0,95599.0,1.13587
3260000,487.948,0.0,95599.8,1.13588
