timestamp,ignore_thrust,ignore_attitude,ignore_bodyrate_x,ignore_bodyrate_y,ignore_bodyrate_z,ignore_position,ignore_velocity,ignore_acceleration_force,ignore_alt_hold
355296000,0,1,0,0,0,1,0,1,1
355300000,0,1,0,0,0,1,0,1,1
355304000,0,1,0,0,0,1,0,1,1
355308000,0,1,0,0,0,1,0,1,1
355312000,0,1,0,0,0,1,0,1,1
355316000,0,1,0,0,0,1,0,1,1
355320000,0,1,0,0,0,1,0,1,1
355320000,0,1,0,0,0,1,0,1,1
355324000,0,1,0,0,0,1,0,1,1
355328000,0,1,0,0,0,1,0,1,1
355332000,0,1,0,0,0,1,0,1,1
355336000,0,1,0,0,0,1,0,1,1
355340000,0,1,0,0,0,1,0,1,1
355344000,0,1,0,0,0,1,0,1,1
355348000,0,1,0,0,0,1,0,1,1
355348000,0,1,0,0,0,1,0,1,1
355352000,0,1,0,0,0,1,0,1,1
355356000,0,1,0,0,0,1,0,1,1
355360000,0,1,0,0,0,1,0,1,1
355364000,0,1,0,0,0,1,0,1,1
355368000,0,1,0,0,0,1,0,1,1
355368000,0,1,0,0,0,1,0,1,1
355376000,0,1,0,0,0,1,0,1,1
355376000,0,1,0,0,0,1,0,1,1
355380000,0,1,0,0,0,1,0,1,1
355384000,0,1,0,0,0,1,0,1,1
355388000,0,1,0,0,0,1,0,1,1
355392000,0,1,0,0,0,1,0,1,1
355396000,0,1,0,0,0,1,0,1,1
355400000,0,1,0,0,0,1,0,1,1
355404000,0,1,0,0,0,1,0,1,1
355404000,0,1,0,0,0,1,0,1,1
355408000,0,1,0,0,0,1,0,1,1
355412000,0,1,0,0,0,1,0,1,1
355416000,0,1,0,0,0,1,0,1,1
355420000,0,1,0,0,0,1,0,1,1
355424000,0,1,0,0,0,1,0,1,1
355428000,0,1,0,0,0,1,0,1,1
355432000,0,1,0,0,0,1,0,1,1
355436000,0,1,0,0,0,1,0,1,1
355440000,0,1,0,0,0,1,0,1,1
355444000,0,1,0,0,0,1,0,1,1
355448000,0,1,0,0,0,1,0,1,1
355452000,0,1,0,0,0,1,0,1,1
355456000,0,1,0,0,0,1,0,1,1
355460000,0,1,0,0,0,1,0,1,1
355464000,0,1,0,0,0,1,0,1,1
355468000,0,1,0,0,0,1,0,1,1
355472000,0,1,0,0,0,1,0,1,1
355476000,0,1,0,0,0,1,0,1,1
355480000,0,1,0,0,0,1,0,1,1
355484000,0,1,0,0,0,1,0,1,1
