timestamp,roll_body,pitch_body,yaw_body,yaw_sp_move_rate,q_d[0],q_d[1],q_d[2],q_d[3],thrust_body[0],thrust_body[1],thrust_body[2],q_d_valid,roll_reset_integral,pitch_reset_integral,yaw_reset_integral,fw_control_yaw,apply_flaps
116244000,-0.001204,-0.000289289,-0.00109887,0.0,1.0,-0.00060208,-0.000144314,-0.00054952,0.0,0.0,-0.490698,1,0,0,0,0,0
116336000,-0.000835635,0.00104827,-0.00104319,0.0,1.0,-0.000417544,0.000524352,-0.000521375,0.0,0.0,-0.490701,1,0,0,0,0,0
116428000,-0.0755748,-0.0620351,0.0,0.0,0.998806,-0.0377602,-0.0309904,-0.00117161,0.0,0.0,-0.473905,1,0,0,0,0,0
116524000,-0.0781197,-0.05156,0.0,0.0,0.998905,-0.0390369,-0.0257575,-0.0010066,0.0,0.0,-0.445059,1,0,0,0,0,0
116616000,-0.0646391,-0.027447,0.0,0.0,0.999384,-0.0323109,-0.0137159,-0.000443445,0.0,0.0,-0.446972,1,0,0,0,0,0
116708000,-0.0474331,-0.01024,0.0,0.0,0.999706,-0.023714,-0.00511853,-0.000121417,0.0,0.0,-0.452044,1,0,0,0,0,0
116804000,-0.0412614,-0.00146405,0.0,0.0,0.999787,-0.0206292,-0.000731871,-1.51012e-05,0.0,0.0,-0.454436,1,0,0,0,0,0
116896000,-0.032168,0.00480411,0.0,0.0,0.999868,-0.0160832,0.00240174,3.86329e-05,0.0,0.0,-0.45812,1,0,0,0,0,0
116988000,-0.0250353,0.00661682,0.0,0.0,0.999916,-0.0125172,0.00330815,4.14123e-05,0.0,0.0,-0.460248,1,0,0,0,0,0
117084000,-0.026091,0.00895199,0.0,0.0,0.999905,-0.013045,0.0044756,5.83898e-05,0.0,0.0,-0.462844,1,0,0,0,0,0
117176000,-0.0223406,0.00908214,0.0,0.0,0.999927,-0.01117,0.00454077,5.07239e-05,0.0,0.0,-0.466185,1,0,0,0,0,0
117268000,-0.0182254,0.00887328,0.0,0.0,0.999949,-0.00911247,0.00443644,4.0429e-05,0.0,0.0,-0.467492,1,0,0,0,0,0
117364000,-0.018219,0.00961422,0.0,0.0,0.999947,-0.00910926,0.00480689,4.37896e-05,0.0,0.0,-0.470181,1,0,0,0,0,0
117456000,-0.0156896,0.00818056,0.0,0.0,0.999961,-0.00784467,0.00409014,3.20871e-05,0.0,0.0,-0.472842,1,0,0,0,0,0
117548000,-0.0125405,0.00611369,0.0,0.0,0.999976,-0.00627019,0.00305678,1.91671e-05,0.0,0.0,-0.474255,1,0,0,0,0,0
