timestamp,noutputs,output[0],output[1],output[2],output[3],output[4],output[5],output[6],output[7],output[8],output[9],output[10],output[11],output[12],output[13],output[14],output[15]
318616000,6,1487.71,1490.15,1486.27,1487.44,1500.0,1500.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
318712000,6,1486.2,1491.0,1485.76,1490.64,1500.0,1500.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
318812000,6,1492.82,1483.7,1490.73,1485.33,1500.0,1500.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
318912000,6,1489.78,1488.0,1487.12,1487.24,1500.0,1500.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
319008000,6,1483.91,1492.34,1487.21,1489.33,1500.0,1500.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
319108000,6,1484.45,1490.22,1486.03,1487.76,1500.0,1500.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
319204000,6,1489.21,1490.85,1485.85,1486.45,1500.0,1500.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
319304000,6,1488.51,1487.98,1490.64,1484.06,1500.0,1500.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
319404000,6,1490.03,1485.52,1486.48,1490.54,1500.0,1500.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
319500000,6,1488.19,1486.77,1484.69,1490.08,1500.0,1500.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
319596000,6,1487.97,1484.72,1489.55,1486.56,1500.0,1500.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
319692000,6,1482.35,1495.85,1485.06,1488.85,1500.0,1500.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
319788000,6,1484.55,1493.35,1485.22,1490.05,1500.0,1500.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
319884000,6,1482.46,1495.07,1481.27,1491.54,1500.0,1500.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
319980000,6,1483.11,1491.76,1486.81,1489.91,1500.0,1500.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
320076000,6,1485.08,1494.56,1482.94,1491.05,1500.0,1500.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
320172000,6,1493.99,1487.21,1487.88,1487.88,1500.0,1500.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
320268000,6,1492.19,1484.3,1489.97,1485.09,1500.0,1500.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
320368000,6,1490.73,1484.01,1489.5,1487.16,1500.0,1500.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
320468000,6,1485.82,1485.24,1490.34,1485.69,1500.0,1500.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
320564000,6,1491.03,1484.72,1488.38,1485.72,1500.0,1500.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
320660000,6,1486.81,1485.55,1488.53,1487.52,1500.0,1500.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
320756000,6,1489.96,1482.96,1486.64,1486.89,1500.0,1500.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
320852000,6,1488.14,1487.52,1489.43,1486.39,1500.0,1500.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
320952000,6,1491.52,1487.73,1487.42,1487.25,1500.0,1500.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
321048000,6,1486.56,1490.73,1489.3,1484.66,1500.0,1500.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
321144000,6,1485.46,1488.65,1493.18,1485.76,1500.0,1500.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
321240000,6,1486.22,1489.7,1490.27,1487.17,1500.0,1500.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
321336000,6,1493.54,1483.58,1486.59,1487.9,1500.0,1500.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
321432000,6,1489.44,1487.14,1487.95,1485.67,1500.0,1500.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
321528000,6,1493.65,1482.65,1486.6,1486.21,1500.0,1500.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
321624000,6,1484.02,1488.11,1489.51,1483.04,1500.0,1500.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
321720000,6,1488.46,1487.19,1488.58,1486.9,1500.0,1500.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
321816000,6,1483.9,1492.39,1491.16,1484.61,1500.0,1500.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
321912000,6,1487.62,1485.82,1493.53,1483.3,1500.0,1500.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
322008000,6,1488.98,1489.81,1480.9,1495.35,1500.0,1500.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
322108000,6,1490.03,1488.17,1490.55,1485.89,1500.0,1500.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
322204000,6,1480.94,1490.69,1486.46,1489.92,1500.0,1500.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
322300000,6,1480.0,1495.31,1488.41,1487.24,1500.0,1500.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
322396000,6,1480.11,1492.62,1483.06,1491.12,1500.0,1500.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
322492000,6,1484.2,1490.84,1487.09,1491.57,1500.0,1500.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
322588000,6,1487.19,1486.18,1487.57,1487.32,1500.0,1500.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
322684000,6,1490.1,1486.88,1484.69,1485.04,1500.0,1500.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
322780000,6,1484.29,1489.52,1484.0,1488.28,1500.0,1500.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
322876000,6,1484.18,1489.47,1489.56,1487.31,1500.0,1500.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
322976000,6,1476.76,1494.15,1480.39,1494.98,1500.0,1500.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
323072000,6,1481.85,1490.57,1485.44,1489.97,1500.0,1500.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
323172000,6,1490.38,1484.47,1491.44,1485.35,1500.0,1500.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
323272000,6,1490.04,1483.7,1492.85,1481.11,1500.0,1500.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
323372000,6,1487.82,1485.62,1481.21,1492.84,1500.0,1500.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
323468000,6,1490.57,1486.36,1489.93,1484.96,1500.0,1500.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
323564000,6,1492.65,1481.82,1490.69,1484.47,1500.0,1500.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
323660000,6,1483.81,1491.35,1481.68,1491.91,1500.0,1500.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
323760000,6,1485.84,1487.22,1481.33,1495.11,1500.0,1500.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
323856000,6,1493.15,1486.48,1491.1,1481.24,1500.0,1500.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
323952000,6,1491.22,1485.11,1488.97,1486.98,1500.0,1500.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
