timestamp,voltage_v,voltage_filtered_v,current_a,current_filtered_a,average_current_a,discharged_mah,remaining,scale,temperature,cell_count,voltage_cell_v[0],voltage_cell_v[1],voltage_cell_v[2],voltage_cell_v[3],max_cell_voltage_delta,capacity,cycle_count,run_time_to_empty,average_time_to_empty,serial_number,connected,system_source,priority,is_powering_off,warning
58572000,11.3233,11.3234,-1.0,-1.0,0.0,0.0,0.499039,1.073,0.0,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
59064000,11.3233,11.3234,-1.0,-1.0,0.0,0.0,0.499039,1.073,0.0,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
59556000,11.3233,11.3234,-1.0,-1.0,0.0,0.0,0.499039,1.073,0.0,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
60048000,11.3233,11.3234,-1.0,-1.0,0.0,0.0,0.499039,1.073,0.0,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
60540000,11.3233,11.3234,-1.0,-1.0,0.0,0.0,0.499039,1.073,0.0,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
61032000,11.3233,11.3234,-1.0,-1.0,0.0,0.0,0.499039,1.073,0.0,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
61524000,11.3233,11.3234,-1.0,-1.0,0.0,0.0,0.499039,1.073,0.0,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
62016000,11.3233,11.3234,-1.0,-1.0,0.0,0.0,0.499039,1.073,0.0,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
62508000,11.3233,11.3234,-1.0,-1.0,0.0,0.0,0.499039,1.073,0.0,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
63000000,11.3233,11.3234,-1.0,-1.0,0.0,0.0,0.499039,1.073,0.0,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
