timestamp,lat,lon,alt,alt_ellipsoid,delta_alt,vel_n,vel_e,vel_d,yaw,eph,epv,terrain_alt,lat_lon_reset_counter,alt_reset_counter,terrain_alt_valid,dead_reckoning
39972000,47.3977423627,8.54559419915,541.974,51.9228,-0.0,-0.0300237,-0.00221126,-2.94887,0.00826663,2.29796,2.40032,0.0,2,0,0,0
40164000,47.3977423817,8.54559418248,542.541,52.4691,-0.0,-0.0304661,-0.00323263,-2.94463,0.00817174,2.29867,2.40038,0.0,2,0,0,0
40356000,47.3977423938,8.54559416723,543.104,53.0126,-0.0,-0.0319073,-0.000656778,-2.94179,0.00814633,2.2986,2.40034,0.0,2,0,0,0
40548000,47.3977423948,8.54559416073,543.669,53.5569,-0.0,-0.034193,-0.00244446,-2.94286,0.00839944,2.29853,2.40042,0.0,2,0,0,0
40740000,47.3977424001,8.54559415922,544.233,54.1009,-0.0,-0.0346166,-0.00351031,-2.9408,0.0084272,2.29846,2.40038,0.0,2,0,0,0
40932000,47.3977423924,8.54559413703,544.797,54.6453,-0.0,-0.0357009,-0.00192086,-2.93908,0.0084184,2.2984,2.40034,0.0,2,0,0,0
41124000,47.3977423742,8.54559411753,545.359,55.1876,-0.0,-0.0352247,0.000913676,-2.93694,0.00830073,2.29833,2.4003,0.0,2,0,0,0
41316000,47.3977423574,8.54559409079,545.922,55.7297,-0.0,-0.0360668,0.000393904,-2.94467,0.00827116,2.29827,2.40038,0.0,2,0,0,0
41508000,47.3977423423,8.54559406458,546.486,56.2839,-0.0,-0.033782,-0.00108552,-2.94355,0.00840903,2.2982,2.40034,0.0,2,0,0,0
41700000,47.3977423223,8.54559404206,547.05,56.8278,-0.0,-0.0342469,-0.00092509,-2.94205,0.00815439,2.29814,2.4003,0.0,2,0,0,0
41892000,47.3977422994,8.54559401735,547.612,57.3702,-0.0,-0.0344603,-0.00125704,-2.94704,0.00802925,2.29808,2.40039,0.0,2,0,0,0
